hour,price,hour,value,gasUsed
2023-02-16 13:00:00.000 UTC,1692.18,2023-02-16 13:00:00.000 UTC,4830.550309561748,1.357790566e+09
2023-02-06 07:00:00.000 UTC,1634.8,2023-02-06 07:00:00.000 UTC,2541.69005984533,1.391177368e+09
2023-04-15 10:00:00.000 UTC,2110.16,2023-04-15 10:00:00.000 UTC,5746.249899033591,1.125085258e+09
2023-01-18 09:00:00.000 UTC,1582.04,2023-01-18 09:00:00.000 UTC,12973.726466784987,1.209946659e+09
2023-03-04 05:00:00.000 UTC,1571.48,2023-03-04 05:00:00.000 UTC,4018.9484489436195,1.650419471e+09
2023-08-04 12:00:00.000 UTC,1838.97,2023-08-04 12:00:00.000 UTC,6935.820873913171,1.694629836e+09
2023-04-21 16:00:00.000 UTC,1907.85,2023-04-21 16:00:00.000 UTC,12022.319135585474,1.427055248e+09
2023-08-05 22:00:00.000 UTC,1839.22,2023-08-05 22:00:00.000 UTC,1546.3021686989716,1.54856676e+09
2023-08-10 04:00:00.000 UTC,1852.88,2023-08-10 04:00:00.000 UTC,4900.121683599646,1.559343221e+09
2023-09-12 21:00:00.000 UTC,1604.1,2023-09-12 21:00:00.000 UTC,2265.8752480246744,1.828256877e+09
2023-07-11 01:00:00.000 UTC,1884.34,2023-07-11 01:00:00.000 UTC,3752.2054638552886,1.70405088e+09
2023-02-20 14:00:00.000 UTC,1709.82,2023-02-20 14:00:00.000 UTC,5232.917274983847,1.810218042e+09
2023-03-21 21:00:00.000 UTC,1802.22,2023-03-21 21:00:00.000 UTC,3316.279073259394,1.671872127e+09
2023-05-09 21:00:00.000 UTC,1851.61,2023-05-09 21:00:00.000 UTC,2882.177337261351,1.974961057e+09
2023-06-08 04:00:00.000 UTC,1840.79,2023-06-08 04:00:00.000 UTC,5544.046089486911,1.543512493e+09
2023-04-22 23:00:00.000 UTC,1881.1,2023-04-22 23:00:00.000 UTC,3813.442301709163,2.056291658e+09
2023-09-09 15:00:00.000 UTC,1636.73,2023-09-09 15:00:00.000 UTC,1324.3101835779046,1.610879375e+09
2023-02-24 11:00:00.000 UTC,1651.54,2023-02-24 11:00:00.000 UTC,2791.3282386609726,1.709393316e+09
2023-01-03 20:00:00.000 UTC,1212.87,2023-01-03 20:00:00.000 UTC,2313.8192991893065,1.686523391e+09
2023-04-02 06:00:00.000 UTC,1826.16,2023-04-02 06:00:00.000 UTC,1252.2348189910217,1.341285426e+09
2023-03-01 06:00:00.000 UTC,1654.38,2023-03-01 06:00:00.000 UTC,2833.6157529395573,1.481586319e+09
2023-05-23 03:00:00.000 UTC,1868.17,2023-05-23 03:00:00.000 UTC,4734.477895239109,1.708760755e+09
2023-05-11 17:00:00.000 UTC,1806.89,2023-05-11 17:00:00.000 UTC,5048.982231532074,1.691924509e+09
2023-05-01 04:00:00.000 UTC,1849.97,2023-05-01 04:00:00.000 UTC,2359.0927468302766,2.013747467e+09
2023-01-27 18:00:00.000 UTC,1604.56,2023-01-27 18:00:00.000 UTC,4039.8928873762807,1.633581595e+09
2023-08-16 14:00:00.000 UTC,1825.53,2023-08-16 14:00:00.000 UTC,4737.418981900323,1.489216058e+09
2023-07-02 08:00:00.000 UTC,1919.98,2023-07-02 08:00:00.000 UTC,1605.5867251609575,1.411858322e+09
2023-07-05 19:00:00.000 UTC,1912.91,2023-07-05 19:00:00.000 UTC,3200.927331913305,1.25812254e+09
2023-01-13 21:00:00.000 UTC,1445.14,2023-01-13 21:00:00.000 UTC,5200.609030906607,1.752775658e+09
